db_id	quality	adom_id	substrate	smiles	module	nrps_prot_id	adom_protein_start	adom_protein_end	adom_nucleotide_start_end_strand	locus_tag	genomic_id	mibig_id	neighbours	taxid	lineage
ADD0035	gold	BBA_08222_AMP-binding.3	isoleucine	CC[C@H](C)[C@@H](C(=O)O)N	3	EJP62835.1	3352.0	3745.0	(169450, 170629, '(+)')	BBA_08222	JH725181	BGC0002203	['BBA_08222_PCP.3', 'BBA_08222_Condensation_DCL.3']	655819	{'domain': 'Eukaryota', 'kingdom': 'Fungi', 'phylum': 'Ascomycota', 'class': 'Sordariomycetes', 'order': 'Hypocreales', 'family': 'Cordycipitaceae', 'genus': 'Beauveria', 'species': 'Beauveria bassiana'}
ADD0059	gold	RBRH_03864_AMP-binding.1	pyrrole-2-carboxylic acid	C1=CNC(=C1)C(=O)O	1	CBW75455.1	23.0	437.0	(1863351, 1864593, '(+)')	RBRH_03864	FR687359	BGC0002048	[]	882378	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0060	gold	RBRH_03867_AMP-binding.1	valine	CC(C)[C@@H](C(=O)O)N	1	CBW75453.1	458.0	858.0	(1859272, 1860472, '(-)')	RBRH_03867	FR687359	BGC0002048	['RBRH_03867_Condensation_LCL.1', 'RBRH_03867_PCP.1', 'RBRH_03867_Condensation_Starter.1']	882378	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0061	gold	RBRH_03867_AMP-binding.2	proline	C1C[C@H](NC1)C(=O)O	2	CBW75453.1	1515.0	1931.0	(1856053, 1857301, '(-)')	RBRH_03867	FR687359	BGC0002048	['RBRH_03867_Condensation_LCL.2', 'RBRH_03867_PCP.2']	882378	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0062	gold	RBRH_03867_AMP-binding.3	valine	CC(C)[C@@H](C(=O)O)N	3	CBW75453.1	2588.0	2819.0	(1853389, 1854082, '(-)')	RBRH_03867	FR687359	BGC0002048	[]	882378	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0063	gold	RBRH_04313_AMP-binding.1	valine	CC(C)[C@@H](C(=O)O)N	1	CBW75452.1	786.0	1186.0	(1849710, 1850910, '(-)')	RBRH_04313	FR687359	BGC0002048	['RBRH_04313_Condensation_Dual.1', 'RBRH_04313_Condensation_LCL.1', 'RBRH_04313_PCP.1']	882378	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0064	gold	RBRH_04313_AMP-binding.2	threonine	C[C@H]([C@@H](C(=O)O)N)O	2	CBW75452.1	1860.0	2265.0	(1846473, 1847688, '(-)')	RBRH_04313	FR687359	BGC0002048	['RBRH_04313_PCP.2']	882378	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0065	gold	RBRH_03984_AMP-binding.1	serine	C([C@@H](C(=O)O)N)O	1	CBW75451.1	595.0	996.0	(1843300, 1844503, '(-)')	RBRH_03984	FR687359	BGC0002048	['RBRH_03984_Thioesterase.1', 'RBRH_03984_Condensation_Dual.1', 'RBRH_03984_Condensation_LCL.1', 'RBRH_03984_PCP.1']	882378	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0066	gold	RBRH_03984_AMP-binding.2	tyrosine	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	2	CBW75451.1	1670.0	2064.0	(1840096, 1841278, '(-)')	RBRH_03984	FR687359	BGC0002048	['RBRH_03984_Condensation_LCL.2', 'RBRH_03984_PCP.2']	882378	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0067	gold	RBRH_03984_AMP-binding.3	tyrosine	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	3	CBW75451.1	2721.0	3115.0	(1836943, 1838125, '(-)')	RBRH_03984	FR687359	BGC0002048	['RBRH_03984_PCP.3']	882378	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0121	gold	MSR10575_88420_AMP-binding.1	valine	CC(C)[C@@H](C(=O)O)N	1	QRN75755.1	469.0	860.0	(70696, 71869, '(+)')	MSR10575_88420	MW053453	BGC0002114	['MSR10575_88420_Condensation_DCL.1', 'MSR10575_88420_PCP.1', 'MSR10575_88420_Condensation_LCL.1']	2024858	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Myxococcota', 'class': nan, 'order': 'Polyangiales', 'family': 'Sandaracinaceae', 'genus': 'Sandaracinus', 'species': 'Sandaracinus sp.'}
ADD0122	gold	MSR10575_88420_AMP-binding.2	leucine	CC(C)C[C@@H](C(=O)O)N	2	QRN75755.1	1505.0	1899.0	(73804, 74986, '(+)')	MSR10575_88420	MW053453	BGC0002114	['MSR10575_88420_PCP.2']	2024858	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Myxococcota', 'class': nan, 'order': 'Polyangiales', 'family': 'Sandaracinaceae', 'genus': 'Sandaracinus', 'species': 'Sandaracinus sp.'}
ADD0123	gold	ohmA_AMP-binding.1	valine	CC(C)[C@@H](C(=O)O)N	1	QGA70148.1	19.0	390.0	(1989, 3102, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_nMT.1', 'ohmA_PCP.1', 'ohmA_Condensation_LCL.1', 'ohmA_Thioesterase.1']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0124	gold	ohmA_AMP-binding.2	valine	CC(C)[C@@H](C(=O)O)N	2	QGA70148.1	1416.0	1782.0	(6180, 7278, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.2', 'ohmA_Condensation_LCL.2', 'ohmA_nMT.2']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0125	gold	ohmA_AMP-binding.3	threonine	C[C@H]([C@@H](C(=O)O)N)O	3	QGA70148.1	2428.0	2800.0	(9216, 10332, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.3', 'ohmA_Condensation_LCL.3', 'ohmA_nMT.3']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0126	gold	ohmA_AMP-binding.4	threonine	C[C@H]([C@@H](C(=O)O)N)O	4	QGA70148.1	3451.0	3826.0	(12285, 13410, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.4', 'ohmA_Condensation_LCL.4', 'ohmA_nMT.4']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0127	gold	ohmA_AMP-binding.5	valine	CC(C)[C@@H](C(=O)O)N	5	QGA70148.1	4828.0	5194.0	(16416, 17514, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.5', 'ohmA_Condensation_LCL.5', 'ohmA_nMT.5']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0128	gold	ohmA_AMP-binding.6	leucine	CC(C)C[C@@H](C(=O)O)N	6	QGA70148.1	5842.0	6201.0	(19458, 20535, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.6', 'ohmA_Condensation_LCL.6']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0129	gold	ohmA_AMP-binding.7	valine	CC(C)[C@@H](C(=O)O)N	7	QGA70148.1	7204.0	7571.0	(23544, 24645, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.7', 'ohmA_Condensation_LCL.7']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0130	gold	ohmA_AMP-binding.8	valine	CC(C)[C@@H](C(=O)O)N	8	QGA70148.1	8211.0	8578.0	(26565, 27666, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.8', 'ohmA_Condensation_LCL.8']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0131	gold	ohmA_AMP-binding.9	4-methoxytryptophan	C1=CC=C2C(=C1OC)C(=CN2)C[C@@H](C(=O)O)N	9	QGA70148.1	9581.0	9972.0	(30675, 31848, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.9', 'ohmA_Condensation_LCL.9']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0132	gold	ohmA_AMP-binding.10	valine	CC(C)[C@@H](C(=O)O)N	10	QGA70148.1	10980.0	11347.0	(34872, 35973, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.10', 'ohmA_Condensation_LCL.10']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0133	gold	ohmA_AMP-binding.11	phenylalanine	C1=CC=C(C=C1)C[C@@H](C(=O)O)N	11	QGA70148.1	11998.0	12358.0	(37926, 39006, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.11', 'ohmA_Condensation_LCL.11']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0134	gold	ohmA_AMP-binding.12	valine	CC(C)[C@@H](C(=O)O)N	12	QGA70148.1	13015.0	13381.0	(40977, 42075, '(+)')	ohmA	MN480430	BGC0002293	['ohmA_PCP.12']	1931	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp.'}
ADD0162	gold	STAN_0121_AMP-binding.1	glycine	NCC(=O)O	1	RLV64601.1	494.0	889.0	(146879, 148064, '(-)')	STAN_0121	RCOL01000001	BGC0001845	['STAN_0121_ACP.1', 'STAN_0121_cMT.1', 'STAN_0121_Trans-AT_docking.1', 'STAN_0121_PCP.1', 'STAN_0121_Condensation_LCL.1']	2305222	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. CBMAI 2042'}
ADD0222	gold	RBRH_RS08115_AMP-binding.1	proline	C1C[C@H](NC1)C(=O)O	1	QIH29226.1	23.0	437.0	(3573, 4815, '(-)')	RBRH_RS08115	MN081797	BGC0002326	[]	412963	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0223	gold	RBRH_RS08105_AMP-binding.1	valine	CC(C)[C@@H](C(=O)O)N	1	QIH29228.1	458.0	858.0	(7694, 8894, '(+)')	RBRH_RS08105	MN081797	BGC0002326	['RBRH_RS08105_Condensation_Starter.1', 'RBRH_RS08105_PCP.1', 'RBRH_RS08105_Condensation_LCL.1', 'RBRH_RS08105_Condensation_Dual.1']	412963	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0224	gold	RBRH_RS08105_AMP-binding.2	proline	C1C[C@H](NC1)C(=O)O	2	QIH29228.1	1515.0	1931.0	(10865, 12113, '(+)')	RBRH_RS08105	MN081797	BGC0002326	['RBRH_RS08105_PCP.2', 'RBRH_RS08105_Condensation_LCL.2']	412963	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0225	gold	RBRH_RS08105_AMP-binding.3	valine	CC(C)[C@@H](C(=O)O)N	3	QIH29228.1	2588.0	2988.0	(14084, 15284, '(+)')	RBRH_RS08105	MN081797	BGC0002326	['RBRH_RS08105_PCP.3', 'RBRH_RS08105_Condensation_LCL.3']	412963	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0226	gold	RBRH_RS08105_AMP-binding.4	valine	CC(C)[C@@H](C(=O)O)N	4	QIH29228.1	3645.0	4045.0	(17255, 18455, '(+)')	RBRH_RS08105	MN081797	BGC0002326	['RBRH_RS08105_PCP.4']	412963	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0227	gold	RBRH_RS08105_AMP-binding.5	threonine	C[C@H]([C@@H](C(=O)O)N)O	5	QIH29228.1	4719.0	5124.0	(20477, 21692, '(+)')	RBRH_RS08105	MN081797	BGC0002326	[]	412963	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0228	gold	RBRH_RS16740_AMP-binding.1	serine	C([C@@H](C(=O)O)N)O	1	QIH29229.1	595.0	996.0	(23662, 24865, '(+)')	RBRH_RS16740	MN081797	BGC0002326	['RBRH_RS16740_PCP.1', 'RBRH_RS16740_Condensation_LCL.1', 'RBRH_RS16740_Condensation_Dual.1', 'RBRH_RS16740_Thioesterase.1']	412963	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0229	gold	RBRH_RS16740_AMP-binding.2	tyrosine	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	2	QIH29229.1	1670.0	2064.0	(26887, 28069, '(+)')	RBRH_RS16740	MN081797	BGC0002326	['RBRH_RS16740_PCP.2', 'RBRH_RS16740_Condensation_LCL.2']	412963	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0230	gold	RBRH_RS16740_AMP-binding.3	tyrosine	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	3	QIH29229.1	2721.0	3115.0	(30040, 31222, '(+)')	RBRH_RS16740	MN081797	BGC0002326	['RBRH_RS16740_PCP.3']	412963	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Betaproteobacteria', 'order': 'Burkholderiales', 'family': 'Burkholderiaceae', 'genus': 'Mycetohabitans', 'species': 'Mycetohabitans rhizoxinica'}
ADD0243	gold	JQX13_35810_AMP-binding.1	nicotinic acid	C1=CC(=CN=C1)C(=O)O	1	QRK05499.1	40.0	445.0	(8361958, 8363173, '(+)')	JQX13_35810	CP069338	BGC0002324	[]	83451	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Myxococcota', 'class': 'Myxococcia', 'order': 'Myxococcales', 'family': 'Archangiaceae', 'genus': 'Archangium', 'species': 'Archangium violaceum'}
ADD0244	gold	JQX13_35820_AMP-binding.1	lysine	C(CCN)C[C@@H](C(=O)O)N	1	QRK05501.1	454.0	860.0	(8365843, 8367061, '(+)')	JQX13_35820	CP069338	BGC0002324	['JQX13_35820_Condensation_Starter.1', 'JQX13_35820_PCP.1', 'JQX13_35820_TD.1']	83451	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Myxococcota', 'class': 'Myxococcia', 'order': 'Myxococcales', 'family': 'Archangiaceae', 'genus': 'Archangium', 'species': 'Archangium violaceum'}
ADD0299	gold	FRY77_09865_AMP-binding.1	aspartic acid	C([C@@H](C(=O)O)N)C(=O)O	1	NAO96317.1	475.0	866.0	(525443, 526616, '(+)')	FRY77_09865	WJPH01000003	BGC0002117	['FRY77_09865_Condensation_LCL.1', 'FRY77_09865_PCP.1']	2600296	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Gammaproteobacteria', 'order': 'Oceanospirillales', 'family': 'Halomonadaceae', 'genus': 'Halomonas', 'species': 'Halomonas sp. MG34'}
ADD0300	gold	FRY77_09870_AMP-binding.1	serine	C([C@@H](C(=O)O)N)O	1	NAO96318.1	498.0	894.0	(528756, 529944, '(+)')	FRY77_09870	WJPH01000003	BGC0002117	['FRY77_09870_Condensation_LCL.1', 'FRY77_09870_PCP.1', 'FRY77_09870_Condensation_Dual.1']	2600296	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Gammaproteobacteria', 'order': 'Oceanospirillales', 'family': 'Halomonadaceae', 'genus': 'Halomonas', 'species': 'Halomonas sp. MG34'}
ADD0301	gold	FRY77_09870_AMP-binding.2	glycine	NCC(=O)O	2	NAO96318.1	1576.0	1970.0	(531990, 533172, '(+)')	FRY77_09870	WJPH01000003	BGC0002117	['FRY77_09870_PCP.2']	2600296	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Gammaproteobacteria', 'order': 'Oceanospirillales', 'family': 'Halomonadaceae', 'genus': 'Halomonas', 'species': 'Halomonas sp. MG34'}
ADD0302	gold	FRY77_09875_AMP-binding.1	serine	C([C@@H](C(=O)O)N)O	1	NAO96319.1	517.0	913.0	(535319, 536507, '(+)')	FRY77_09875	WJPH01000003	BGC0002117	['FRY77_09875_Condensation_LCL.1', 'FRY77_09875_PCP.1', 'FRY77_09875_Condensation_Dual.1']	2600296	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Gammaproteobacteria', 'order': 'Oceanospirillales', 'family': 'Halomonadaceae', 'genus': 'Halomonas', 'species': 'Halomonas sp. MG34'}
